Name,Cloudiness (%),Country,Date,Humidity (%),Lat,Long,Max Temp (Fahrenheit),Wind Speed (mph)
Ushuaia,90,AR,1584558380,81,-54.8,-68.3,44.6,29.97
Gmina Brwinów,71,PL,1584558380,57,52.14,20.72,57.99,3.36
Hermanus,0,ZA,1584558381,92,-34.42,19.23,66.0,6.44
Qaanaaq,3,GL,1584558381,63,77.48,-69.36,-14.4,5.55
Hilo,75,US,1584558317,83,19.73,-155.09,71.6,4.7
Kapaa,90,US,1584558381,94,22.08,-159.32,75.2,4.7
Souillac,75,MU,1584558381,83,-20.52,57.52,78.8,3.36
Padang,100,ID,1584558381,98,-0.95,100.35,68.76,1.25
Arraial do Cabo,20,BR,1584558381,78,-22.97,-42.03,86.0,9.17
Bluff,75,NZ,1584558382,65,-46.6,168.33,57.99,11.01
Avarua,72,CK,1584558382,83,-21.21,-159.78,82.4,16.11
Yellowknife,5,CA,1584558283,64,62.46,-114.35,1.0,5.82
Port Hawkesbury,20,CA,1584558382,56,45.62,-61.35,37.0,18.34
Bahile,62,PH,1584558382,81,10.0,118.79,74.28,5.86
Atuona,68,PF,1584558382,79,-9.8,-139.03,82.2,14.29
Barcelos,0,PT,1584558383,67,41.54,-8.62,66.99,6.93
Rikitea,74,PF,1584558383,80,-23.12,-134.97,79.56,12.5
Williams Lake,5,CA,1584558383,46,52.14,-122.14,28.4,3.49
Leningradskiy,73,RU,1584558383,90,69.38,178.42,0.66,2.37
Hambantota,40,LK,1584558383,100,6.12,81.12,78.8,5.82
Barrow,90,US,1584558383,85,71.29,-156.79,24.8,25.28
Kisi,35,NG,1584558384,23,9.08,3.85,94.08,6.13
Lashio,0,MM,1584558384,37,22.93,97.75,61.5,2.3
Narsaq,75,GL,1584558384,54,60.92,-46.05,30.2,11.41
Pemba,75,MZ,1584558384,78,-12.97,40.52,82.4,5.82
St. George's,20,GD,1584558125,70,12.06,-61.75,84.2,17.22
Klaksvík,46,FO,1584558385,80,62.23,-6.59,39.2,5.82
Busselton,58,AU,1584558385,63,-33.65,115.33,53.01,5.23
Mogadishu,47,SO,1584558385,82,2.04,45.34,83.34,21.0
Cape Town,0,ZA,1584558257,77,-33.93,18.42,66.99,18.34
Venice,1,US,1584558385,45,27.1,-82.45,89.01,8.05
Albany,75,US,1584558385,20,42.6,-73.97,54.0,2.24
Tuktoyaktuk,90,CA,1584558386,92,69.45,-133.04,14.0,19.46
Yatou,0,CN,1584558386,62,37.15,122.38,45.12,30.65
Itarema,20,BR,1584558386,67,-2.92,-39.92,85.86,8.97
Potchefstroom,84,ZA,1584558386,68,-26.72,27.1,64.2,7.07
Saint Anthony,90,US,1584558386,75,45.02,-93.22,45.0,3.36
Severo-Kuril'sk,94,RU,1584558386,93,50.68,156.12,21.78,19.93
Laas,26,IT,1584558387,74,46.62,10.7,62.6,3.36
Castro,29,BR,1584558221,51,-24.79,-50.01,83.1,4.36
Bethel,1,US,1584558387,31,41.37,-73.41,57.0,11.41
Cabra,37,ES,1584558211,37,37.47,-4.44,71.6,11.41
Pangkalanbuun,100,ID,1584558317,94,-2.68,111.62,74.28,1.95
Kushālgarh,1,IN,1584558387,20,23.2,74.45,75.78,3.69
Airai,18,TL,1584558388,71,-8.93,125.41,65.1,3.24
Norman Wells,75,CA,1584558388,73,65.28,-126.83,21.2,18.34
Vila,0,PT,1584558388,63,42.03,-8.16,66.99,6.93
Lebu,7,CL,1584558388,53,-37.62,-73.65,68.16,9.55
Lüderitz,0,NA,1584558388,82,-26.65,15.16,64.4,17.22
Ponta do Sol,75,PT,1584558388,72,32.67,-17.1,62.6,20.8
New Norfolk,39,AU,1584558388,71,-42.78,147.06,57.2,4.7
Nikolskoye,90,RU,1584558388,100,59.7,30.79,41.0,2.24
Merrill,90,US,1584558389,74,45.18,-89.68,37.99,4.7
Miraflores,5,MX,1584558179,35,19.22,-98.81,84.2,3.36
Caravelas,3,BR,1584558389,77,-17.71,-39.25,81.66,11.72
Thompson,40,CA,1584558389,42,55.74,-97.86,5.0,4.7
Te Anau,96,NZ,1584558389,84,-45.42,167.72,50.34,8.99
Lompoc,1,US,1584558390,50,34.64,-120.46,60.01,11.41
Hithadhoo,61,MV,1584558390,72,-0.6,73.08,85.32,9.17
Progreso,75,MX,1584558390,41,21.28,-89.67,95.0,13.87
Bathsheba,40,BB,1584558390,62,13.22,-59.52,84.2,19.46
Shizunai-furukawachō,36,JP,1584558390,90,42.33,142.37,30.6,2.57
Shache,100,CN,1584558390,19,38.42,77.24,53.28,3.38
Bengkulu,100,ID,1584558391,96,-3.8,102.27,73.08,5.57
Jamestown,1,US,1584558262,45,42.1,-79.24,48.99,14.99
Tiksi,73,RU,1584558391,78,71.69,128.87,-15.36,10.58
Punta Arenas,75,CL,1584558107,81,-53.15,-70.92,48.2,18.34
Bermeo,0,ES,1584558391,100,43.42,-2.72,60.01,5.82
Māngrol,0,IN,1584558391,65,21.12,70.12,79.32,9.71
Bredasdorp,20,ZA,1584558392,68,-34.53,20.04,64.4,5.82
Sioux Lookout,40,CA,1584558392,35,50.1,-91.92,26.6,3.36
North Myrtle Beach,1,US,1584558325,77,33.82,-78.68,75.0,10.29
Sola,72,VU,1584558392,76,-13.88,167.55,83.16,9.82
Acaxochitlán,2,MX,1584558392,42,20.17,-98.2,73.44,8.14
Noyabrsk,99,RU,1584558392,92,63.2,75.45,21.18,19.95
Abu Samrah,95,SY,1584558392,68,35.3,37.18,45.84,5.19
Wajid,49,SO,1584558393,28,3.81,43.25,85.68,11.05
Kruisfontein,0,ZA,1584558393,93,-34.0,24.73,64.98,9.08
Puerto Ayora,40,EC,1584558393,70,-0.74,-90.35,84.2,6.93
Ribeira Grande,75,PT,1584558393,72,38.52,-28.7,59.0,25.28
Antofagasta,20,CL,1584558393,64,-23.65,-70.4,71.6,13.87
Nyurba,92,RU,1584558393,97,63.28,118.33,-5.1,4.61
Kaitangata,100,NZ,1584558394,77,-46.28,169.85,55.0,3.0
Itacoatiara,75,BR,1584558394,94,-3.14,-58.44,78.8,4.7
Kaupanger,75,NO,1584558394,100,61.18,7.24,30.2,36.91
Tiarei,75,PF,1584558394,70,-17.53,-149.33,86.0,8.05
Mitsamiouli,40,KM,1584558394,78,-11.38,43.28,82.4,5.82
Cabo San Lucas,90,MX,1584558395,69,22.89,-109.91,77.0,6.93
Dukhovshchina,95,RU,1584558395,75,55.19,32.41,44.58,12.95
Shingū,0,JP,1584558294,71,33.73,135.98,55.02,5.14
Gorontalo,28,ID,1584558395,91,0.54,123.06,73.08,3.6
Pevek,100,RU,1584558395,90,69.7,170.31,-6.36,12.62
Praia,40,CV,1584558294,57,14.92,-23.51,75.2,20.8
Krasnosel'kup,0,RU,1584558396,94,65.7,82.47,8.28,13.96
Yar-Sale,93,RU,1584558396,93,66.83,70.83,20.52,12.73
Saskylakh,100,RU,1584558396,94,71.92,114.08,1.26,12.24
Ostrovnoy,67,RU,1584558396,96,68.05,39.51,22.98,2.46
Ilulissat,40,GL,1584558396,43,69.22,-51.1,15.8,26.4
Vila Velha,40,BR,1584558396,78,-20.33,-40.29,82.99,11.41
Tura,0,IN,1584558397,35,25.52,90.22,69.24,4.0
Talnakh,75,RU,1584558397,84,69.49,88.4,6.8,8.95
Kushiro,64,JP,1584558397,80,42.98,144.37,34.92,10.13
Hammerfest,40,NO,1584558397,92,70.66,23.68,30.2,6.93
Inuvik,90,CA,1584558397,73,68.35,-133.72,21.2,9.17
Khatanga,100,RU,1584558397,98,71.97,102.5,-3.3,1.3
Dikson,100,RU,1584558398,99,73.51,80.55,-6.36,6.67
Porto San Giorgio,23,IT,1584558398,71,43.18,13.79,55.0,1.12
Mount Gambier,90,AU,1584558132,56,-37.83,140.77,69.8,6.93
Butaritari,16,KI,1584558398,80,3.07,172.79,82.26,13.06
Odder,99,DK,1584558398,70,55.97,10.15,45.0,3.36
Mataura,81,NZ,1584558399,65,-46.19,168.86,57.99,11.01
Oistins,40,BB,1584558131,62,13.07,-59.53,84.2,19.46
Fortuna,90,US,1584558399,76,40.6,-124.16,54.0,2.84
Hobyo,32,SO,1584558399,75,5.35,48.53,80.76,12.8
Hobart,49,AU,1584558336,71,-42.88,147.33,57.2,4.7
Cayenne,75,GF,1584558183,78,4.93,-52.33,82.4,13.87
Dwārka,0,IN,1584558399,65,22.24,68.97,78.06,9.69
Goderich,100,CA,1584558400,66,43.75,-81.72,48.0,5.99
Iskateley,100,RU,1584558400,96,67.68,53.15,20.82,5.14
Cap Malheureux,75,MU,1584558400,83,-19.98,57.61,78.8,3.36
Chui,100,UY,1584558400,90,-33.7,-53.46,68.04,12.57
Bayan,100,CN,1584558307,97,46.08,127.4,29.46,6.55
Manokwari,100,ID,1584558400,80,-0.87,134.08,73.92,2.37
Clyde River,90,CA,1584558186,83,70.47,-68.59,-5.8,42.5
Ancud,0,CL,1584558401,55,-41.87,-73.82,62.6,11.41
George Town,20,MY,1584558401,78,5.41,100.34,82.4,2.24
Tazovsky,57,RU,1584558401,94,67.47,78.7,6.96,7.67
Lewistown,1,US,1584558401,34,40.6,-77.57,55.0,6.93
Upernavik,37,GL,1584558401,60,72.79,-56.15,2.28,5.82
Bairiki Village,20,KI,1584558401,78,1.33,172.98,82.4,6.93
Husavik,90,IS,1584558402,74,66.04,-17.34,28.4,14.99
Singapore,75,SG,1584558295,78,1.29,103.85,82.4,6.93
Buraidah,0,SA,1584558402,26,26.33,43.98,69.8,4.83
La Mira,0,MX,1584558402,63,18.04,-102.33,81.9,9.62
Castro Alves,41,BR,1584558402,50,-12.77,-39.43,87.96,8.19
Harlingen,20,US,1584558341,48,26.19,-97.7,87.8,20.8
São João da Barra,20,BR,1584558402,62,-21.64,-41.05,86.0,11.41
Acajutla,6,SV,1584558403,45,13.59,-89.83,86.0,1.99
Trelew,0,AR,1584558329,19,-43.25,-65.31,80.04,13.85
Ambon City,40,ID,1584558403,94,-3.7,128.18,77.0,2.24
Balkanabat,77,TM,1584558403,47,39.51,54.37,61.68,10.74
Walvis Bay,9,NA,1584558403,89,-22.96,14.51,63.0,1.01
Hasaki,20,JP,1584558404,93,35.73,140.83,41.0,2.24
Sibu,75,MY,1584558404,94,2.3,111.82,77.0,1.12
Ulladulla,18,AU,1584558404,52,-35.35,150.47,68.0,11.41
La Rioja,15,ES,1584558354,82,42.25,-2.5,55.4,4.7
Zeya,0,RU,1584558404,89,53.75,127.27,14.58,4.38
Mar del Plata,75,AR,1584558404,88,-38.0,-57.56,72.0,8.05
Charters Towers,16,AU,1584558404,87,-20.1,146.27,64.92,3.47
Igarka,90,RU,1584558405,89,67.47,86.58,3.96,14.67
Chyorny Yar,99,RU,1584558405,48,48.06,46.11,42.6,8.21
Najrān,84,SA,1584558405,32,17.49,44.13,84.2,11.41
Olafsvik,100,IS,1584558405,66,64.89,-23.71,26.94,12.33
Zhuhai,40,CN,1584558405,100,22.28,113.57,73.0,2.24
Sinzheim,21,DE,1584558406,67,48.76,8.17,57.99,4.7
Nsanje,20,MW,1584558406,97,-16.92,35.26,70.14,3.85
Yerbogachën,100,RU,1584558406,93,61.28,108.01,23.88,16.53
Mahabalipuram,20,IN,1584558406,83,12.63,80.17,82.99,4.7
Mariehamn,93,AX,1584558160,86,60.1,19.93,41.0,5.82
Vostok,100,RU,1584558406,97,46.49,135.88,28.08,4.45
Fuerte Olimpo,40,PY,1584558406,31,-21.04,-57.87,101.82,7.92
Leh,53,IN,1584558364,57,34.17,77.58,8.46,2.89
Yacuiba,90,BO,1584558407,100,-22.04,-63.68,75.2,9.17
Kavieng,100,PG,1584558407,76,-2.57,150.8,81.9,4.09
San Patricio,5,MX,1584558407,74,19.22,-104.7,86.0,11.41
Atar,78,MR,1584558407,17,20.52,-13.05,86.0,6.93
Lerwick,40,GB,1584558407,81,60.15,-1.15,44.6,26.4
Qarqīn,82,AF,1584558157,41,37.42,66.04,69.78,2.75
Belyy Yar,64,RU,1584558408,55,53.6,91.39,35.6,13.42
Neryungri,73,RU,1584558408,95,56.67,124.65,6.66,3.09
Port Alfred,48,ZA,1584558408,92,-33.59,26.89,66.99,4.0
Kahului,20,US,1584558408,100,20.89,-156.47,71.6,5.82
Grindavik,75,IS,1584558408,74,63.84,-22.43,30.2,21.92
Port Elizabeth,20,ZA,1584558408,88,-33.92,25.57,66.2,14.99
Timbiquí,84,CO,1584558409,65,2.77,-77.67,84.96,6.02
Alice Springs,0,AU,1584558317,56,-23.7,133.88,68.0,9.44
Chokurdakh,13,RU,1584558409,93,70.63,147.92,-30.96,9.24
Port Jervis,1,US,1584558409,27,41.38,-74.69,57.0,8.05
Usinsk,98,RU,1584558409,96,65.99,57.53,23.34,9.33
Beloha,0,MG,1584558409,78,-25.17,45.05,63.36,9.06
Maniitsoq,100,GL,1584558409,73,65.42,-52.9,26.76,22.15
Aklavik,90,CA,1584558410,79,68.22,-135.01,21.2,10.29
Nanortalik,100,GL,1584558410,94,60.14,-45.24,28.38,18.77
Port Augusta,0,AU,1584558410,24,-32.5,137.77,82.4,14.99
Energetik,0,RU,1584558410,88,51.74,58.79,22.62,7.11
Wanlaweyn,12,SO,1584558410,76,2.62,44.89,81.72,17.29
Kaeo,0,NZ,1584558410,92,-35.1,173.78,52.0,1.01
Miranda de Ebro,36,ES,1584558339,87,42.69,-2.95,60.01,6.93
East London,10,ZA,1584558410,88,-33.02,27.91,66.2,6.93
Novobiryusinskiy,72,RU,1584558411,92,56.96,97.71,26.04,10.78
Thunder Bay,90,CA,1584558371,73,48.4,-89.32,37.0,6.93
Lagoa,99,PT,1584558411,79,39.05,-27.98,57.72,23.76
Asău,26,RO,1584558411,56,46.43,26.4,43.0,3.36
Kendari,100,ID,1584558411,88,-3.94,122.5,75.42,1.34
Gogrial,89,SS,1584558412,14,8.53,28.1,88.5,6.31
Saint Paul Harbor,1,US,1584558412,51,57.79,-152.41,37.4,18.34
Kieta,33,PG,1584558412,79,-6.22,155.63,80.4,6.73
Alofi,97,NU,1584558412,94,-19.06,-169.92,75.2,4.7
Codrington,100,AU,1584558412,62,-38.27,141.97,66.36,9.93
Hofn,90,IS,1584558412,75,64.25,-15.21,32.0,17.22
Sobolevo,98,RU,1584558412,77,54.43,31.9,43.86,13.38
Longyearbyen,20,SJ,1584558413,69,78.22,15.64,-13.0,1.12
Faya,75,SA,1584558413,93,18.39,42.45,62.6,11.41
Linfen,0,CN,1584558413,11,36.09,111.52,52.68,2.98
Meulaboh,94,ID,1584558413,80,4.14,96.13,82.26,9.82
Faanui,90,PF,1584558413,68,-16.48,-151.75,82.74,2.75
Staroshcherbinovskaya,66,RU,1584558413,65,46.63,38.67,40.68,11.36
San Jose,90,US,1584558016,57,37.34,-121.89,54.0,2.68
Zyryanka,75,RU,1584558414,96,65.75,150.85,-11.94,15.52
Marsabit,98,KE,1584558414,58,2.33,37.99,81.36,16.89
Guerrero Negro,99,MX,1584558414,65,27.98,-114.06,63.48,18.3
Anloga,20,GH,1584558272,79,5.79,0.9,84.2,16.11
Villa Carlos Paz,20,AR,1584558301,56,-31.42,-64.5,79.0,5.82
Mount Isa,0,AU,1584558414,35,-20.73,139.5,73.4,6.93
Kamaishi,94,JP,1584558415,81,39.27,141.88,37.2,5.08
Bowen,40,AU,1584558415,88,-20.02,148.23,73.0,11.41
Aldan,79,RU,1584558415,95,58.6,125.39,5.34,4.65
Keflavik,75,IS,1584558415,74,64.0,-22.56,30.2,21.92
Koumac,0,NC,1584558415,90,-20.57,164.28,68.4,4.81
Cairns,40,AU,1584558387,78,-16.92,145.77,75.2,12.75
Tasiilaq,5,GL,1584558184,51,65.61,-37.64,14.0,5.48
Antalaha,86,MG,1584558416,81,-14.9,50.28,81.36,6.22
Vigrestad,40,NO,1584558416,75,58.57,5.7,42.8,10.29
Umm Hājar,68,TD,1584558416,10,13.3,19.7,86.94,12.73
Taiping,20,MY,1584558416,83,4.85,100.73,78.8,3.36
Eureka,90,US,1584558281,76,40.8,-124.16,54.0,1.19
Vaini,75,TO,1584558416,83,-21.2,-175.2,75.2,5.82
Port Hedland,22,AU,1584558417,88,-20.32,118.57,80.6,4.7
Francisco Beltrão,100,BR,1584558417,85,-26.08,-53.05,78.12,6.85
Santa Marta,20,CO,1584558417,62,11.24,-74.2,97.0,9.17
Kencong,93,ID,1584558417,79,-8.28,113.37,80.28,4.47
Carnarvon,54,AU,1584558418,50,-24.87,113.63,75.2,12.75
Suamico,90,US,1584558186,79,44.63,-88.04,39.99,9.17
Cooma,86,AU,1584558418,76,-36.23,149.13,51.8,5.82
São Filipe,18,CV,1584558418,79,14.9,-24.5,66.18,25.26
Esperance,40,AU,1584558418,76,-33.87,121.9,57.2,10.29
Broken Hill,0,AU,1584558418,33,-31.95,141.43,73.4,9.17
Cidreira,98,BR,1584558418,92,-30.18,-50.21,73.98,17.11
Flinders,0,AU,1584558419,52,-34.58,150.86,68.0,11.41
Bonavista,100,CA,1584558419,98,48.65,-53.11,34.68,17.45
Bahía Blanca,40,AR,1584558245,50,-38.72,-62.27,74.46,12.5
Pangai,75,TO,1584558419,83,-19.8,-174.35,78.8,8.05
Pathein,86,MM,1584558419,74,16.78,94.73,78.6,15.88
Torbay,90,CA,1584558313,93,47.67,-52.73,41.0,27.51
Byron Bay,25,AU,1584558419,93,-28.65,153.62,62.6,3.62
Jászdózsa,0,HU,1584558419,66,47.57,20.02,51.01,2.24
